route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
FR:Line::fc526a2c-d3e0-4ae0-b8cd-782f83e16cdd:,000007,OCESN3614F2662217:2023-10-10T00:42:10Z,3614,0,82,
FR:Line::fc526a2c-d3e0-4ae0-b8cd-782f83e16cdd:,000043,OCESN3614F2662421:2023-10-06T00:53:43Z,3614,0,83,
FR:Line::fc526a2c-d3e0-4ae0-b8cd-782f83e16cdd:,000058,OCESN3615F1979392:2023-10-07T00:44:23Z,3615,1,84,
FR:Line::fc526a2c-d3e0-4ae0-b8cd-782f83e16cdd:,000059,OCESN3615F2406385:2023-08-29T11:49:37Z,3615,1,85,
FR:Line::fc526a2c-d3e0-4ae0-b8cd-782f83e16cdd:,000032,OCESN3615F2541977:2023-09-14T00:34:33Z,3615,1,86,
FR:Line::fc526a2c-d3e0-4ae0-b8cd-782f83e16cdd:,000043,OCESN3615F2544189:2023-08-29T11:49:37Z,3615,1,87,
FR:Line::fc526a2c-d3e0-4ae0-b8cd-782f83e16cdd:,000042,OCESN3615F2544419:2023-08-29T11:49:37Z,3615,1,88,
FR:Line::fc526a2c-d3e0-4ae0-b8cd-782f83e16cdd:,000060,OCESN3617F1922349:2023-09-12T00:35:02Z,3617,,89,
FR:Line::fc526a2c-d3e0-4ae0-b8cd-782f83e16cdd:,000061,OCESN3617F2465494:2023-09-11T00:36:42Z,3617,,90,
FR:Line::276892b7-b6aa-4a9b-a989-62f4abea526b:,000062,OCESN3619F2489892:2023-08-29T11:49:37Z,3619,1,91,
FR:Line::276892b7-b6aa-4a9b-a989-62f4abea526b:,000063,OCESN3619F2489893:2023-08-29T11:49:37Z,3619,1,92,
FR:Line::276892b7-b6aa-4a9b-a989-62f4abea526b:,000064,OCESN3619F2489894:2023-10-03T00:24:35Z,3619,1,93,
FR:Line::276892b7-b6aa-4a9b-a989-62f4abea526b:,000065,OCESN3619F2489895:2023-10-03T00:24:35Z,3619,1,94,
FR:Line::276892b7-b6aa-4a9b-a989-62f4abea526b:,000066,OCESN3619F2535709:2023-08-29T11:49:37Z,3619,1,95,
FR:Line::276892b7-b6aa-4a9b-a989-62f4abea526b:,000067,OCESN3619F2542691:2023-09-21T00:32:48Z,3619,1,96,
FR:Line::276892b7-b6aa-4a9b-a989-62f4abea526b:,000068,OCESN3619F2542692:2023-09-21T00:32:48Z,3619,1,97,
FR:Line::276892b7-b6aa-4a9b-a989-62f4abea526b:,000043,OCESN3619F2544191:2023-10-04T00:41:06Z,3619,1,98,
FR:Line::276892b7-b6aa-4a9b-a989-62f4abea526b:,000050,OCESN3619F2595825:2023-09-16T00:34:29Z,3619,1,99,
FR:Line::276892b7-b6aa-4a9b-a989-62f4abea526b:,000069,OCESN3619F2596661:2023-09-27T00:39:01Z,3619,1,100,
FR:Line::fc526a2c-d3e0-4ae0-b8cd-782f83e16cdd:,000070,OCESN3624F2376953:2023-08-29T11:49:37Z,3624,0,101,
FR:Line::fc526a2c-d3e0-4ae0-b8cd-782f83e16cdd:,000066,OCESN3624F2443165:2023-09-19T00:35:11Z,3624,0,102,
FR:Line::fc526a2c-d3e0-4ae0-b8cd-782f83e16cdd:,000071,OCESN3624F2445069:2023-08-29T11:49:37Z,3624,0,103,
FR:Line::fc526a2c-d3e0-4ae0-b8cd-782f83e16cdd:,000072,OCESN3624F2544204:2023-09-30T00:27:01Z,3624,0,104,
FR:Line::fc526a2c-d3e0-4ae0-b8cd-782f83e16cdd:,000025,OCESN3624F2550061:2023-10-07T00:44:23Z,3624,0,105,
FR:Line::fc526a2c-d3e0-4ae0-b8cd-782f83e16cdd:,000073,OCESN3624F2561742:2023-08-29T11:49:37Z,3624,0,106,
FR:Line::fc526a2c-d3e0-4ae0-b8cd-782f83e16cdd:,000074,OCESN3624F2562747:2023-08-29T11:49:37Z,3624,0,107,
FR:Line::fc526a2c-d3e0-4ae0-b8cd-782f83e16cdd:,000039,OCESN3624F2605527:2023-09-19T00:35:11Z,3624,0,108,
FR:Line::fc526a2c-d3e0-4ae0-b8cd-782f83e16cdd:,000075,OCESN3624F2605829:2023-09-19T00:35:11Z,3624,0,109,
FR:Line::fc526a2c-d3e0-4ae0-b8cd-782f83e16cdd:,000043,OCESN3624F2646459:2023-09-30T00:27:01Z,3624,0,110,
FR:Line::fc526a2c-d3e0-4ae0-b8cd-782f83e16cdd:,000076,OCESN3625F1787112:2023-09-11T00:36:42Z,3625,1,111,
FR:Line::fc526a2c-d3e0-4ae0-b8cd-782f83e16cdd:,000077,OCESN3625F1817088:2023-10-05T00:43:30Z,3625,1,112,
FR:Line::fc526a2c-d3e0-4ae0-b8cd-782f83e16cdd:,000078,OCESN3625F1831022:2023-09-02T00:39:40Z,3625,1,113,
FR:Line::fc526a2c-d3e0-4ae0-b8cd-782f83e16cdd:,000079,OCESN3625F1847634:2023-09-16T00:34:29Z,3625,1,114,
FR:Line::fc526a2c-d3e0-4ae0-b8cd-782f83e16cdd:,000080,OCESN3625F1989060:2023-10-01T00:25:35Z,3625,1,115,
FR:Line::fc526a2c-d3e0-4ae0-b8cd-782f83e16cdd:,000081,OCESN3625F2051404:2023-10-07T00:44:23Z,3625,1,116,
